# KIC 6102338 Q16
# BJD PDCSAP_flux
2.456306445139307994e+06 9.556712890625000000e+03
2.456306465572616551e+06 9.548301757812500000e+03
2.456306486005825456e+06 9.536163085937500000e+03
2.456306506439034827e+06 9.540297851562500000e+03
2.456306526872244198e+06 9.533440429687500000e+03
2.456306547305454034e+06 9.524138671875000000e+03
2.456306567738763988e+06 9.513559570312500000e+03
2.456306588171874639e+06 9.506721679687500000e+03
2.456306608605085406e+06 9.510233398437500000e+03
2.456306649471607525e+06 9.505052734375000000e+03
2.456306669904719107e+06 9.484509765625000000e+03
2.456306690338030923e+06 9.484585937500000000e+03
2.456306710771243554e+06 9.475421875000000000e+03
2.456306731204356067e+06 9.469129882812500000e+03
2.456306751637668815e+06 9.462998046875000000e+03
2.456306772070881911e+06 9.457023437500000000e+03
2.456306792504095472e+06 9.451834960937500000e+03
2.456306812937309034e+06 9.453202148437500000e+03
2.456306833370523062e+06 9.439025390625000000e+03
2.456306853803837672e+06 9.437127929687500000e+03
2.456306874236952048e+06 9.427768554687500000e+03
2.456306894670167472e+06 9.419881835937500000e+03
2.456306915103382431e+06 9.409230468750000000e+03
2.456306935536598321e+06 9.405834960937500000e+03
2.456306955969913863e+06 9.394293945312500000e+03
2.456306976403030101e+06 9.385334960937500000e+03
2.456306996836246457e+06 9.379886718750000000e+03
2.456307017269563396e+06 9.376986328125000000e+03
2.456307037702680565e+06 9.371701171875000000e+03
2.456307058135897852e+06 9.359333007812500000e+03
2.456307078569215722e+06 9.359237304687500000e+03
2.456307099002333358e+06 9.362488281250000000e+03
2.456307119435552042e+06 9.362458984375000000e+03
2.456307139868870378e+06 9.344193359375000000e+03
2.456307160301989410e+06 9.344047851562500000e+03
2.456307180735308677e+06 9.331019531250000000e+03
2.456307201168528292e+06 9.327707031250000000e+03
2.456307221601747908e+06 9.315693359375000000e+03
2.456307242034967989e+06 9.311086914062500000e+03
2.456307262468188535e+06 9.307621093750000000e+03
2.456307282901409548e+06 9.294541015625000000e+03
2.456307303334730212e+06 9.301540039062500000e+03
2.456307323767852038e+06 9.298333007812500000e+03
2.456307344201173633e+06 9.286640625000000000e+03
2.456307364634395577e+06 9.280020507812500000e+03
2.456307385067517869e+06 9.286269531250000000e+03
2.456307405500840396e+06 9.282849609375000000e+03
2.456307425934063271e+06 9.274121093750000000e+03
2.456307446367186494e+06 9.267732421875000000e+03
2.456307466800509952e+06 9.282522460937500000e+03
2.456307487233733758e+06 9.258909179687500000e+03
2.456307507666857447e+06 9.261725585937500000e+03
2.456307528100182302e+06 9.254904296875000000e+03
2.456307548533406574e+06 9.256491210937500000e+03
2.456307568966631778e+06 9.266828125000000000e+03
2.456307589399856981e+06 9.241380859375000000e+03
2.456307609833082650e+06 9.240506835937500000e+03
2.456307630266308784e+06 9.233977539062500000e+03
2.456307650699534919e+06 9.229914062500000000e+03
2.456307671132761519e+06 9.230128906250000000e+03
2.456307691565988120e+06 9.232171875000000000e+03
2.456307711999215186e+06 9.229489257812500000e+03
2.456307732432542834e+06 9.226434570312500000e+03
2.456307752865670715e+06 9.219368164062500000e+03
2.456307773298898712e+06 9.223431640625000000e+03
2.456307793732227292e+06 9.213467773437500000e+03
2.456307814165355638e+06 9.209652343750000000e+03
2.456307834598584566e+06 9.205845703125000000e+03
2.456307855031914078e+06 9.204530273437500000e+03
2.456307875465143472e+06 9.201706054687500000e+03
2.456307895898273680e+06 9.194524414062500000e+03
2.456307916331603657e+06 9.201820312500000000e+03
2.456307936764833983e+06 9.181726562500000000e+03
2.456307957198065240e+06 9.192185546875000000e+03
2.456307977631296031e+06 9.190391601562500000e+03
2.456307998064527754e+06 9.179313476562500000e+03
