# KIC 6102338 Q0 regularly spaced, with NaNs replaced
# BJD PDCSAP_flux
2.454968783736640587e+06 1.057232519531250000e+04
2.454968804171094205e+06 1.056550390625000000e+04
2.454968824605348054e+06 1.057699218750000000e+04
2.454968845039701555e+06 1.055917285156250000e+04
2.454968865474054590e+06 1.056948730468750000e+04
2.454968885908407625e+06 1.058307324218750000e+04
2.454968906342761125e+06 1.057564746093750000e+04
2.454968926777113695e+06 1.056909863281250000e+04
2.454968947211366612e+06 1.056200097656250000e+04
2.454968967645818833e+06 1.059850781250000000e+04
2.454968988080171403e+06 1.058360644531250000e+04
2.454969008514423389e+06 1.056718945312500000e+04
2.454969028948875610e+06 1.055756152343750000e+04
2.454969049383227713e+06 1.057134667968750000e+04
2.454969069817479234e+06 1.055933105468750000e+04
2.454969090251830872e+06 1.056295605468750000e+04
2.454969110686282162e+06 1.056241503906250000e+04
2.454969131120633800e+06 1.055532031250000000e+04
2.454969151554884855e+06 1.055546679687500000e+04
2.454969171989335679e+06 1.054682714843750000e+04
2.454969192423686385e+06 1.055720214843750000e+04
2.454969212857936975e+06 1.058980761718750000e+04
2.454969233292287681e+06 1.056534863281250000e+04
2.454969253726738039e+06 1.054844531250000000e+04
2.454969274160988163e+06 1.055568457031250000e+04
2.454969294595338404e+06 1.056338476562500000e+04
2.454969315029788297e+06 1.054323144531250000e+04
2.454969335464037955e+06 1.053693554687500000e+04
2.454969355898387730e+06 1.054670410156250000e+04
2.454969376332736574e+06 1.053094726562500000e+04
2.454969396767085884e+06 1.052008593750000000e+04
2.454969417201435193e+06 1.052424316406250000e+04
2.454969437635784037e+06 1.051142675781250000e+04
2.454969458070232999e+06 1.051773242187500000e+04
2.454969478504481725e+06 1.051362109375000000e+04
2.454969498938830104e+06 1.050408496093750000e+04
2.454969519373178482e+06 1.050933398437500000e+04
2.454969539807526395e+06 1.049624511718750000e+04
2.454969560241874307e+06 1.049874316406250000e+04
2.454969580676222220e+06 1.049449609375000000e+04
2.454969601110570133e+06 1.048644042968750000e+04
2.454969621544917580e+06 1.048083886718750000e+04
2.454969641979265027e+06 1.048769042968750000e+04
2.454969662413612008e+06 1.048821093750000000e+04
2.454969682847958989e+06 1.046254003906250000e+04
2.454969703282305971e+06 1.046000195312500000e+04
2.454969723716652486e+06 1.045482519531250000e+04
2.454969744150899351e+06 1.045893750000000000e+04
2.454969764585345518e+06 1.044620996093750000e+04
2.454969785019692034e+06 1.043930566406250000e+04
2.454969805453937966e+06 1.044529589843750000e+04
2.454969825888384134e+06 1.043445214843750000e+04
2.454969846322729718e+06 1.044236718750000000e+04
2.454969866757075302e+06 1.042870703125000000e+04
2.454969887191320769e+06 1.042253515625000000e+04
2.454969907625766005e+06 1.042582519531250000e+04
2.454969928060111124e+06 1.042020703125000000e+04
2.454969948494356126e+06 1.041572460937500000e+04
2.454969968928800896e+06 1.041388476562500000e+04
2.454969989363145549e+06 1.040928613281250000e+04
2.454970009797390085e+06 1.040300781250000000e+04
2.454970030231734738e+06 1.040725390625000000e+04
2.454970050666178577e+06 1.039577246093750000e+04
2.454970071100422647e+06 1.040155859375000000e+04
2.454970091534766834e+06 1.040911425781250000e+04
2.454970111969210207e+06 1.040122656250000000e+04
2.454970132403453812e+06 1.039870800781250000e+04
2.454970152837797068e+06 1.040080078125000000e+04
2.454970173272140324e+06 1.043442968750000000e+04
2.454970193706583697e+06 1.040724609375000000e+04
2.454970214140826371e+06 1.040540429687500000e+04
2.454970234575169161e+06 1.040419921875000000e+04
2.454970255009411834e+06 1.039372363281250000e+04
2.454970275443853810e+06 1.038612207031250000e+04
2.454970295878196135e+06 1.038484082031250000e+04
2.454970316312438343e+06 1.038712500000000000e+04
2.454970336746880319e+06 1.039774414062500000e+04
2.454970357181222178e+06 1.038389746093750000e+04
2.454970377615563571e+06 1.038389746093750000e+04
2.454970398049805313e+06 1.038366113281250000e+04
2.454970418484246824e+06 1.039452246093750000e+04
2.454970438918587752e+06 1.040403710937500000e+04
2.454970459352828562e+06 1.040408203125000000e+04
2.454970479787269607e+06 1.041911035156250000e+04
2.454970500221610069e+06 1.040865625000000000e+04
2.454970520655850414e+06 1.040766796875000000e+04
