# KIC 6102338 Q3
# BJD PDCSAP_flux
2.455095758067471441e+06 9.971719726562500000e+03
2.455095778500285931e+06 9.961839843750000000e+03
2.455095798933000304e+06 9.967707031250000000e+03
2.455095819365914445e+06 9.966450195312500000e+03
2.455095839798728935e+06 9.978060546875000000e+03
2.455095860231442377e+06 9.967520507812500000e+03
2.455095880664256401e+06 9.963697265625000000e+03
2.455095901097170077e+06 9.963968750000000000e+03
2.455095921529883519e+06 9.965388671875000000e+03
2.455095941962696612e+06 9.963331054687500000e+03
2.455095962395609822e+06 9.962007812500000000e+03
2.455095982828422915e+06 9.956478515625000000e+03
2.455096003261135425e+06 9.949291015625000000e+03
2.455096023693948518e+06 9.954938476562500000e+03
2.455096044126860797e+06 9.959372070312500000e+03
2.455096064559573308e+06 9.959354492187500000e+03
2.455096084992385469e+06 9.963198242187500000e+03
2.455096105425297283e+06 9.957489257812500000e+03
2.455096125858009327e+06 9.962791015625000000e+03
2.455096146290821023e+06 9.949080078125000000e+03
2.455096166723732371e+06 9.986334960937500000e+03
2.455096187156443950e+06 9.961379882812500000e+03
2.455096207589255180e+06 9.960551757812500000e+03
2.455096228022065945e+06 9.974727539062500000e+03
2.455096248454877175e+06 9.968824218750000000e+03
2.455096268887687940e+06 9.969446289062500000e+03
2.455096289320498239e+06 9.967346679687500000e+03
2.455096309753408656e+06 1.001244824218750000e+04
2.455096330186118837e+06 1.001919824218750000e+04
2.455096350618929137e+06 1.000203320312500000e+04
2.455096371051638853e+06 9.978505859375000000e+03
2.455096391484548803e+06 9.972707031250000000e+03
2.455096411917358637e+06 9.967816406250000000e+03
2.455096432350168005e+06 9.976555664062500000e+03
2.455096452782977372e+06 9.969552734375000000e+03
2.455096473215786275e+06 9.976150390625000000e+03
2.455096493648595642e+06 9.980733398437500000e+03
2.455096514081404544e+06 9.971438476562500000e+03
2.455096534514212981e+06 9.980538085937500000e+03
2.455096554947021417e+06 9.986833984375000000e+03
2.455096575379730202e+06 9.984616210937500000e+03
2.455096595812638290e+06 9.988681640625000000e+03
2.455096616245446261e+06 9.999560546875000000e+03
2.455096636678154115e+06 1.000517187500000000e+04
2.455096657111061737e+06 1.001783984375000000e+04
2.455096677543869708e+06 1.001954882812500000e+04
2.455096697976577096e+06 1.002679101562500000e+04
2.455096718409384135e+06 1.002129492187500000e+04
2.455096738842191175e+06 1.002674707031250000e+04
2.455096759274998214e+06 1.002649707031250000e+04
2.455096779707805254e+06 1.002685058593750000e+04
2.455096800140711945e+06 1.003420800781250000e+04
2.455096820573418401e+06 1.004278417968750000e+04
2.455096841006224509e+06 1.003918457031250000e+04
2.455096861438930966e+06 1.004205859375000000e+04
2.455096881871837191e+06 1.008076171875000000e+04
2.455096902304642834e+06 1.007459765625000000e+04
2.455096922737348825e+06 1.007964843750000000e+04
2.455096943170254119e+06 1.006791601562500000e+04
2.455096963603059761e+06 1.006315136718750000e+04
2.455096984035764821e+06 1.008564550781250000e+04
2.455097004468669649e+06 1.008198437500000000e+04
2.455097024901474826e+06 1.008652734375000000e+04
2.455097045334279537e+06 1.008985156250000000e+04
2.455097065766984131e+06 1.010675976562500000e+04
2.455097086199888960e+06 1.009878710937500000e+04
2.455097106632693205e+06 1.010455273437500000e+04
